Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
301,1427,0.4773,0.2636,4.9168,0.0612,0.0198,112,0.182737,0.58414,0.170847,0.017645,0.017652,14038,3264,0,3978,0,1.505,18.22,20526,374.59,1643,0.003,0.089,0.053,0.009,0.016,8.9,47.5
302,1390,0.5047,0.2868,4.69,0.0644,0.0224,111,0.134338,0.575539,0.093221,0.011841,0.011515,15077,3021,0,4024,0,1.51,18.57,20887,374.59,1655,0.004,0.134,0.058,0.013,0.01,8.6,48
300,1423,0.506,0.277,4.7915,0.0621,0.0186,110,0.190031,0.590065,0.182795,0.018571,0.018576,14984,4853,0,4119,0,1.5,18.78,21231,371.87,1668,0.003,0.113,0.051,0.012,0.023,8.5,49
302,1341,0.5783,0.3126,4.7365,0.0668,0.0179,112,0.192127,0.592447,0.186305,0.018865,0.018869,15108,991,0,4060,0,1.51,18.57,20868,375.5,1610,0.006,0.105,0.077,0.024,0.025,8.9,52.6
300,1402,0.73,0.29,4.88,0.065,0.024,112,0.19732,0.595607,0.195998,0.019653,0.019654,16049,2465,0,4184,0,1.5,19.53,21979,373.68,1600,0.003,0.043,0.045,0.03,0.034,8,60.4
295,1420,0.5085,0.2436,4.8158,0.0576,0.0166,60,0.128,0.525,0.094,0.012,0.012,22439,1953,0,4038,0,1.475,19.02,20970,321.99,1625,0.003,0.063,0.042,0.004,0.01,7.7,39.6
292,1423,0.5504,0.2658,4.66,0.0608,0.0173,91,0.128281,0.526154,0.094207,0.012026,0.012026,22441,2455,0,4675,0,1.46,19.7,20912,347.38,1749,0.002,0.058,0.045,0.004,0.007,7.7,46.9
290,1400,0.62,0.31,4.56,0.068,0.018,92,0.127861,0.524429,0.093898,0.011987,0.011987,22393,2962,0,4087,0,1.45,19.47,20992,346.47,1738,0.003,0.088,0.055,0.005,0.006,7.9,50.2
305,1412,0.5331,0.2515,4.84,0.0598,0.019,110,0.3508,0.560413,0.586764,0.023604,0.018156,14362,1962,0,4237,0,1.525,15.22,16855,376.41,1847,0.004,0.039,0.029,0.008,0.027,8,53.2
301,1342,0.58,0.31,4.64,0.068,0.018,84,0.184206,0.584566,0.173444,0.017836,0.017843,20319,3214,0,4100,0,1.505,18.47,20571,349.2,1639,0.007,0.082,0.06,0.006,0.022,7.9,48.5
